Maintenance_flag,record_id,Measurement_timestamp,Vehicle_speed_sensor,Vibration,Engine_Load,Engine_Coolant_Temp,Intake_Manifold_Pressure,Engine_RPM,Speed_OBD,Intake_Air_Temp,Mass_Air_Flow_Rate,Throttle_Pos_Manifold,Voltage_Control_Module,Ambient_air_temp,Accel_Pedal_Pos_D,Engine_Oil_Temp,Speed_GPS,GPS_Longitude,GPS_Latitude,GPS_Bearing,GPS_Altitude,Turbo_Boost_And_Vcm_Gauge,Trip_Distance,Litres_Per_100km_Inst,Accel_Ssor_Total,CO2_in_g_per_km_Inst,Trip_Time_journey,fleetid,truckid,period,Region
0,3974,22FEB16:17:07:20,87,246.296167,0,87,114,1337,87,9,24.99,80,14.22,8,14.901961,84,90.12192,8.9309436747,47.116059536,322,344,2.465641,226.05096,0,-0.04442,0,7284,Fleet_00613F1,Truck_0801X1,2,3
0,990,22FEB16:16:17:36,159,242.290879,52.941177,88,169,1959.5,159,11,48.44,80,14.1,7,14.901961,87,165.95999,10.095407615,48.485574484,274.1,436,10.442717,163.59084,5.818556,0.031301,153.9007,4300,Fleet_01213F1,Truck_0081X1,2,1
0,4781,22FEB16:17:20:47,102,245.461732,20.784313,90,109,1255.5,102,10,22.69,80,14.16,7,27.058825,86,104.54462,9.4627293589,48.847562752,319.1,296,1.740453,248.64415,1.131086,-0.039233,29.917208,8091,Fleet_00713F1,Truck_0421X1,2,1
0,4348,22FEB16:17:13:34,98,245.684248,61.17647,90,111,1233.5,98,8,20.27,74.5098,14.2,7,14.901961,85,103.86002,8.1612396747,47.112447536,274.2,382,2.030529,236.30394,3.090733,-0.059187,81.74985,7658,Fleet_00613F1,Truck_0801X1,2,3
0,4318,22FEB16:17:13:04,105,245.294845,57.2549,89,108,1337,105,8,22.24,79.21569,14.12,7,14.901961,85,107.38809,8.2339056747,47.120709536,275.5,380,1.595415,235.4181,2.878014,0.038558,76.12343,7628,Fleet_00613F1,Truck_0801X1,2,3
0,5328,22FEB16:17:29:54,118,244.571668,49.411766,89,116,1472,118,7,26.61,80,14.14,6,14.901961,85,114.27219,8.371195794,49.730319773,30.4,147,2.755716,264.55038,2.750389,-0.043846,72.74775,8638,Fleet_00513F1,Truck_0781X1,2,1
0,4791,22FEB16:17:20:57,100,245.57299,91.37255,89,133,1241,100,10,26.69,80,14.08,7,34.509804,86,102.456055,9.4765713589,48.835520752,326.3,292,5.221359,248.90326,5.026417,-0.089875,132.94862,8101,Fleet_00713F1,Truck_0421X1,2,1
0,6899,22FEB16:17:56:05,45,248.632585,53.333336,88,116,1431.5,45,14,25.13,67.84314,14.14,7,38.039215,84,46.0449,7.7057887631,48.669282339,10.8,154,2.755716,290.7679,7.475206,0.003567,197.71907,10209,Fleet_00413F1,Truck_0641X1,2,2
0,4159,22FEB16:17:10:25,107,245.183587,59.215687,89,117,1344,107,8,26.99,76.47059,14.16,7,33.72549,85,109.80071,8.6016096747,47.073615536,247.6,349,2.900755,230.92982,3.680441,-0.008731,97.3476,7469,Fleet_00613F1,Truck_0801X1,2,3
0,7645,22FEB16:18:08:31,16,250.245826,36.862747,87,109,811.5,16,14,11.38,59.607845,14.22,8,14.901961,84,16.5985,9.2939937714,48.401371726,113,149,1.740453,306.3524,6.110002,0.004299,161.60944,10955,Fleet_00813F1,Truck_0411X1,2,1
0,840,22FEB16:16:15:06,129,243.959749,47.84314,81,113,1599.5,129,9,28.63,80,14.16,8,14.901961,79,133.05629,9.6598136153,48.481404484,256.2,497,2.320604,158.36537,2.639689,-0.034067,69.819725,4150,Fleet_01213F1,Truck_0081X1,2,1
